war iraq&-0.62060917&64\\
cluster bomb&-0.483607358&69\\
cluster&-0.442312937&73\\
british govern&-0.408555599&56\\
oil&-0.321382019&93\\
go war&-0.29095978&82\\
billion&-0.28998417&50\\
mani us&-0.26998417&50\\
bomb&-0.248502689&432\\
georg&-0.248502689&81\\
nuclear weapon&-0.245773644&95\\
bush&-0.24198417&250\\
drop&-0.237446857&67\\
court&-0.22998417&104\\
conserv&-0.22998417&98\\
american&-0.218722909&444\\
tell us&-0.216470656&74\\
authoris&-0.215278288&68\\
administr&-0.21244031&228\\
fire&-0.210503651&77\\
