109,strong,0.788990826,86,,,,
411,case,0.710462287,292,,,,
228,clearli,0.771929825,176,,,,
188,three,0.686170213,129,,,,
216,major,0.712962963,154,,,,
718,debat,0.728412256,523,,,,
1365,hous,0.734798535,1003,,,,
271,vote,0.605166052,164,,,,
60,though,0.716666667,43,,,,
688,could,0.709302326,488,,,,
1418,forc,0.770098731,1092,,,,
12,adjourn,0.583333333,7,,,,
174,noth,0.75862069,132,,,,
541,like,0.733826248,397,,,,
198,activ,0.853535354,169,,,,
308,help,0.850649351,262,,,,
67,wonder,0.656716418,44,,,,
11,prejudic,0.181818182,2,,,,
383,polici,0.733681462,281,,,,
206,leader,0.703883495,145,,,,
1290,war,0.527131783,680,,,,
272,parti,0.584558824,159,,,,
1168,time,0.729452055,852,,,,
1997,right,0.717576365,1433,,,,
15,livingston,0.933333333,14,,,,
14,cook,0.928571429,13,,,,
87,spoke,0.643678161,56,,,,
192,told,0.588541667,113,,,,
242,refer,0.599173554,145,,,,
594,peac,0.767676768,456,,,,
66,strongli,0.818181818,54,,,,
338,consid,0.653846154,221,,,,
23,compel,0.695652174,16,,,,
182,ground,0.664835165,121,,,,
300,inde,0.723333333,217,,,,
32,milosev,0.75,24,,,,
20,bigger,0.85,17,,,,
656,threat,0.8125,533,,,,
1260,intern,0.715873016,902,,,,
1093,saddam,0.815187557,891,,,,
640,hussein,0.75,480,,,,
392,commit,0.785714286,308,,,,
58,wors,0.74137931,43,,,,
107,breach,0.775700935,83,,,,
142,human,0.605633803,86,,,,
1041,weapon,0.666666667,694,,,,
445,mass,0.698876404,311,,,,
468,destruct,0.692307692,324,,,,
107,principl,0.691588785,74,,,,
134,occas,0.723880597,97,,,,
24,behav,0.958333333,23,,,,
29,owe,0.620689655,18,,,,
1406,us,0.633001422,890,,,,
110,consist,0.763636364,84,,,,
185,base,0.664864865,123,,,,
542,foreign,0.623616236,338,,,,
21,inconsist,0.857142857,18,,,,
73,entitl,0.630136986,46,,,,
559,ask,0.699463327,391,,,,
43,sincer,0.418604651,18,,,,
126,oppos,0.595238095,75,,,,
120,tonight,0.783333333,94,,,,
338,act,0.784023669,265,,,,
1275,support,0.714509804,911,,,,
12,want get,0.833333333,10,,,,
38,long time,0.684210526,26,,,,
13,intern affair,0.769230769,10,,,,
335,foreign secretari,0.611940299,205,,,,
12,legal basi,0.833333333,10,,,,
150,histori,0.766666667,115,,,,
